S.No.,Institute Code,Institute Name,Place,District,Region,Minority,Inst.Type,University Name,Address,Type of College,Year of EST
305,14934,MADONNA DEGREE COLLEGE FOR THE DEAF COLLEGE CODE 142,VIJAYAWADA URBAN,NTR,AU,NO,COED,KRISHNA UNIVERSITY,"49-4-20,VIJAYAWADA(URBAN),VIJAYAWADA URBAN,Krishna,520004",Private Un-Aided,2007
306,14964,MAHARSHI DEGREE and P.G COLLEGE GAJAPATINAGARAM,"PURITIPENTA,GAJAPATHINAGARAM",VIZIANAGARAM,AU,NO,COED,ANDHRA UNIVERSITY,"PURITIPENTA,GAJAPATHINAGARAM",Private Un-Aided,2001
307,14970,MAHATHI  DEGREE COLLEGE VISAKHA,VISAKHAPATNAM,VISAKHAPATNAM,AU,NO,COED,ANDHRA UNIVERSITY,58-13-165,Private Un-Aided,2001
308,14974,MAHATMA DEGREE COLLEGE URAVAKONDA,URAVAKONDA,ANANTAPUR,SVU,NO,COED,SRI KRISHNADEVARAYA UNIVERSITY,"Near A.P.TranSco Office, Opp. Police Station, Uravakonda - 515812,URAVAKONDA,URAVAKONDA,Anantapur,515812",Private Un-Aided,2008
309,14976,MAHATMA GANDHI COLLEGE GUNTUR,Guntur(C) (Urban),GUNTUR,AU,NO,COED,ACHARYA NAGARJUNA UNIVERSITY,"26-44-2/A/1,Guntur(C) (Urban),Guntur(C) (Urban),Guntur,522006",Private Un-Aided,1992
310,14990,MAHENDRA DEGREE COLLEGE  PATHAPATNAM,PATHAPATNAM,SRIKAKULAM,AU,NO,COED,DR BR AMBEDKAR UNIVERSITY,"TIDDIMI ROAD, PATHAPATNAM",Private Un-Aided,1996
311,15013,SARADA DEGREE COLLEGE MEDARAMETLA,KORISAPADU,BAPATLA,AU,NO,COED,ANDHRA KESARI UNIVERSITY,"THAMMAVARAM RAOADMEDARAMETLA 523212,MEDARA METLA,KORISAPADU,Prakasam,523212",Private Un-Aided,1993
312,15098,GEETANJALI  DEGREE COLLEGE UNGUTURU,UNGUTURU,ELURU,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,"NARYANAPURAM ,UNGUTURU,UNGUTURU,West Godavari,534411",Private Un-Aided,2008
313,15110,MARGADARSI DEGREE COLLEGE PILERU,PILERU,ANNAMAYYA,SVU,NO,COED,SRI VENKATESWARA UNIVERSITY,"1-618, Srinidhi PlazaCross Roads,Piler.,PILERU,PILERU,Chittoor,517214",Private Un-Aided,2005
314,15120,MARUTHI DEGREE COLLEGE KODURU,KODURU,KRISHNA,AU,NO,COED,KRISHNA UNIVERSITY,"OPP SBI, MAIN ROAD, KODURU,KODURU,KODURU,Krishna,521328",Private Un-Aided,2006
315,15121,VISHISTA DEGREE COLLEGE THOTAMULA,GAMPALAGUDEM,NTR,AU,NO,COED,KRISHNA UNIVERSITY,"D.No.8-46/A,THOTAMULA,GAMPALAGUDEM,Krishna,521403",Private Un-Aided,2005
316,15214,"VDA DEGREE COLLEGE, GAJUWAKA",GAJUWAKA,VISAKHAPATNAM,AU,NO,COED,ANDHRA UNIVERSITY,"Andhra Bank Back Side Street,Gajuwaka,GAJUWAKA,Visakhapatnam,530026",Private Un-Aided,2002
317,15220,MIRIAM COLLEGE AMALAPURAM            006,Amalapuram (Urban),KONASEEMA,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,"Dr.No. 1-3-36/1/2,Amalapuram (Urban),Amalapuram (Urban),East Godavari,533201",Private Un-Aided,1994
318,15248,MINARVA DEGREE COLLGE  PRATHIPADU,PRATHIPADU,KAKINADA,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,"6-211,MAIN ROAD, NH 16 Road, Minervanagar,PRATHIPADU,PRATHIPADU,East Godavari,533432",Private Un-Aided,1998
319,15282,MEESALA LAKSHMAYYA ARTS AND SCIENCE DEGREE COLLEGE 248,NARSIPATNAM,ANAKAPALLI,AU,NO,COED,ANDHRA UNIVERSITY,"Srinivasa Complex, 2nd Floor, Main Road,",Private Un-Aided,2001
320,15287,MLR NAIDU DEGREE COLLEGE,NARASANNAPETA,SRIKAKULAM,AU,NO,COED,DR BR AMBEDKAR UNIVERSITY,"NARASANNAPETA,NARASANNAPETA,NARASANNAPETA,Srikakulam,532421",Private Un-Aided,2005
321,15320,MO COLLEGE JILLELLAMUDI,JILLELLAMUDI,BAPATLA,AU,NO,COED,ACHARYA NAGARJUNA UNIVERSITY,MAIN ROAD JILLELLAMUDIBAPATLA MDGUNTUR DTPIN CODE 522113,Private Aided,1971
322,15323,MODERN DEGREE COLLEGE CHILAKALURIPETA,CHILAKALURIPET,PALNADU,AU,NO,COED,ACHARYA NAGARJUNA UNIVERSITY,24-28,Private Un-Aided,2002
323,15341,MOHAN DEGREE COLLEGE KAKINADA,KAKINADA (RURAL),KAKINADA,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,"Eswar nagar,RAMANAYYAPETA,KAKINADA (RURAL),East Godavari,533005",Private Un-Aided,2005
324,15358,MORNING STAR DEGREE COLLEGE PHIRANGIPURAM,PHIRANGIPURAM,GUNTUR,AU,NO,COED,ACHARYA NAGARJUNA UNIVERSITY,"10-59,PHIRANGIPURAM,PHIRANGIPURAM,Guntur,522529",Private Un-Aided,2001
325,15366,MOTHER DEGREE COLLEGE  JAGANNADHAPURAM,KOTANANDURU,KAKINADA,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,"D.No.6-52,,KOTANANDURU,KOTANANDURU,East Godavari,533407",Private Un-Aided,2000
326,15407,MOTHER THERESA DEGREE COLLEGE  CODE NO.049 TEKKALI,TEKKALI,SRIKAKULAM,AU,NO,COED,DR BR AMBEDKAR UNIVERSITY,"NEAR RTC COMPLEX INDIRAGANDHI JUNCTION TEKKALI,TEKKALI,TEKKALI,Srikakulam,532201",Private Un-Aided,2005
327,15421,"MOTHERTHERESA DEGREE COLLEGE, PALAMANER",GANGAVARAM,CHITTOOR,SVU,NO,COED,SRI VENKATESWARA UNIVERSITY,"MELUMOI POST , PALAMANER , CHITTOOR DT,MELUMOY,GANGAVARAM,Chittoor,517408",Private Un-Aided,2001
328,15439,MAHARAJAHS COLLEGE AUTONOMOUS,Vizianagaram (Urban),VIZIANAGARAM,AU,NO,COED,ANDHRA UNIVERSITY,"TUPAKULA STREET,VIZIANAGARAM",Private Un-Aided,1879
329,15454,SRI HARSHA DEGREE COLLEGE FOR WOMEN Macherla,MACHERLA,PALNADU,AU,NO,Women,ACHARYA NAGARJUNA UNIVERSITY,"D.NO.13-2-236/2,SRISRISAILAM ROAD MACHERLA",Private Un-Aided,2016
330,15464,MRS AVN  COLLEGE VSP,VISAKHAPATNAM(U),VISAKHAPATNAM,AU,NO,COED,ANDHRA UNIVERSITY,"D.No.21-1-17, Near Poorna Market, Visakhapatnam - 1.,Visakhapatnam,VISAKHAPATNAM(U),Visakhapatnam,530001",Private Un-Aided,1878
331,15468,MS  DEGREE COLLEGE  GOOTY,GOOTY,ANANTAPUR,SVU,NO,COED,SRI KRISHNADEVARAYA UNIVERSITY,"D.No-9/41 Guntakal Road, Gooty,GOOTY (RURAL),GOOTY,Anantapur,515401",Private Un-Aided,1991
332,15472,MS REDDY DEGREE COLLEGE BAPTALA,BAPATLA,BAPATLA,AU,NO,COED,ACHARYA NAGARJUNA UNIVERSITY,"Municipal High school grounds ,Bapatla (Urban),Bapatla (Urban),Guntur,522101",Private Un-Aided,2005
333,15475,M.S.N DEGREE and P.G.COLLEGE THOTAPALEM VIZIANAGARAM,VIZIANAGARAM,VIZIANAGARAM,AU,NO,COED,ANDHRA UNIVERSITY,8-24-13THOTAPALEM,Private Un-Aided,2001
334,15476,MSN DEG COLLEGE,KAKINADA (RURAL),KAKINADA,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,"yanam road,turangi, kakinada",Private Aided,1971
335,15483,MSR DEGREE COLLEGE KAVALI,KAVALI,SRI POTTI SRIRAMULU NELLORE,SVU,NO,COED,VIKRAMA SIMHAPURI UNIVERSITY,"CO-OPEARATIVE COLONY,KAVALI BIT - II (R),KAVALI,Nellore,524201",Private Un-Aided,1993
336,15484,M.S.R. DEGREE COLLEGE VINJAMUR,VINJAMUR,SRI POTTI SRIRAMULU NELLORE,SVU,NO,COED,VIKRAMA SIMHAPURI UNIVERSITY,"Near Udayagiri Road,Vinjamur,VINJAMUR,VINJAMUR,Nellore,524228",Private Un-Aided,1993
337,15507,MSS DEGREE COLLEGE GOLLAVALLI,UPPALAGUPTAM,KONASEEMA,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,"MAIN ROAD,GOLLAVILLI,GOLLAVILLI,UPPALAGUPTAM,East Godavari,533222",Private Un-Aided,2003
338,15531,MVN JS  RVR College of Arts and Science,MALIKIPURAM,KONASEEMA,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,"MAIN ROAD,MALIKIPURAM,MALIKIPURAM,East Godavari,533253",Private Un-Aided,1972
339,15536,MVR  DEGREE COLLEGE GAJUWAKA   091 304,Visakhapatnam (Urban),VISAKHAPATNAM,AU,NO,COED,ANDHRA UNIVERSITY,"6-58-41/1,SHARAMIKANAGAR,CHINAGANTIYADA,GAJUWAKA,VSP-26",Private Un-Aided,1991
340,15538,M.V.R. DEGREE COLLEGE NUZVIDU,NUZVID,ELURU,AU,NO,COED,KRISHNA UNIVERSITY,"Main Road,NUZVID,NUZVID,Krishna,521201",Private Un-Aided,2005
341,15570,NAGARJUNA DEGREE COLLEGE FOR WOMEN  KADAPA,Cuddapah (Urban),YSR,SVU,NO,Women,YOGI VEMANA UNIVERSITY,"39/622-68Aravinda NagarKadapa,Cuddapah (Urban),Cuddapah (Urban),Kadapa,516001",Private Un-Aided,1993
342,15571,SRI NAGARJUNA DEGREE COLLEGE ONGOLE,Ongole (Urban),PRAKASAM,AU,NO,COED,ANDHRA KESARI UNIVERSITY,"8-247(3),Ongole (Urban),Ongole (Urban),Prakasam,523002",Private Un-Aided,2000
343,15625,NALANDA DEGREE COLLEGE ANANTHAPURAMU,ANANTAPUR,ANANTAPUR,SVU,NO,COED,SRI KRISHNADEVARAYA UNIVERSITY,"D.No.6/5/233 RAM NAGAR OPP.CRESCENT SCHOOL ANATHAPURAMU:08554-222644,Anantapur (Urban),Anantapur (Urban),Anantapur,515001",Private Un-Aided,2005
344,15631,NALANDA DEGREE COLLEGE  VIJAYAWADA,VIJAYAWADA URBAN,NTR,AU,NO,COED,KRISHNA UNIVERSITY,"M G ROAD, LABBIPET,VIJAYAWADA,VIJAYAWADA(URBAN),VIJAYAWADA URBAN,Krishna,520010",Private Un-Aided,2001
345,15640,Varaprasad Reddy Institute of Technology,SATTENAPALLY,PALNADU,AU,NO,COED,JNTUK,SIDDHARTH NAGAR,Private Un-Aided,2001
346,15801,Deeksha Degree College,KANCHIKA CHERLA,NTR,AU,NO,COED,KRISHNA UNIVERSITY,"8-55 ,KANCHIKACHERLA,KANCHIKA CHERLA,Krishna,521180",Private Un-Aided,2005
347,15822,NATIONAL DEGREE COLLEGE,NANDYAL,NANDYAL,SVU,NO,COED,RAYALASEEMA UNIVERSITY,"28/852-E2/2,Nandyal (Urban),Nandyal (Urban),Kurnool,518501",Private Un-Aided,1994
348,15838,SRI VENKATA SRINIVASA DEGREE COLLEGE  SRIKAKULAM,SRIKAKULAM,SRIKAKULAM,AU,NO,COED,DR BR AMBEDKAR UNIVERSITY,"RAMALAKSHMANAJUCTION PLOT NO 51.SRIKAKULAM.,BALAGA (RURAL),SRIKAKULAM,Srikakulam,532001",Private Un-Aided,2005
349,15891,NBKR SCIENCE AND ARTS COLLEGE(DEGREE AND PG) VIDYANAGAR,KOTA,TIRUPATI,SVU,NO,COED,VIKRAMA SIMHAPURI UNIVERSITY,"College roadVidyanagarH/O Gudali,GUDALI,KOTA,Nellore,524413",Private Un-Aided,1965
350,15895,"NBT & NVC Government Degree College, Narasaraopet",Narasaraopet,PALNADU,AU,NO,COED,Acharya Nagarjuna University,Narasaraopet,Government,2023
351,15977,ADITYA  DEGREE COLLEGE GAJUWAKA,Gajuwaka (Urban),VISAKHAPATNAM,AU,NO,COED,ANDHRA UNIVERSITY,"NH 5, ARJUN ARCADE OLD GAJUWAKA VISAKHAPATNAM 26",Private Un-Aided,1999
352,16046,NNS VIDYA DEGREE COLLEGE CHIRALA,CHIRALA,BAPATLA,AU,NO,COED,ANDHRA KESARI UNIVERSITY,"14-21-18 ,CHIRALA (RURAL),CHIRALA,Prakasam,523155",Private Un-Aided,1997
